,mode,N,p,d,sig2e,beta,re_prior,q0,q1,q2,sig2b0,sig2b1,sig2b2,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
135,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,2,vae-ignore,5.502599281286582,,,,,200,57.92681670188904
136,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,2,vae-ohe,5.591049347628634,,,,,200,461.2659366130829
137,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,2,vae-embed,5.519034691108562,,,,,200,84.99333047866821
138,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,2,lmmvae,1.5986070318085404,,0.007947701960802078,1.018918514251709,0.8525853753089905,200,114.92521572113037
139,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,3,pca-ignore,6.1538585042054095,,,,,,0.4336721897125244
140,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,3,pca-ohe,6.195128566184228,,,,,,28.656542539596558
141,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,3,vae-ignore,5.935025935015583,,,,,200,57.35958003997803
142,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,3,vae-ohe,5.934426126964971,,,,,200,457.73393654823303
143,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,3,vae-embed,5.87500514857743,,,,,200,84.99783372879028
144,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,3,lmmvae,1.9388913884137187,,0.007966283708810806,1.141082525253296,0.9192919731140137,200,115.43192768096924
145,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,4,pca-ignore,5.910957374240631,,,,,,0.42786264419555664
146,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,4,pca-ohe,5.946322000576541,,,,,,28.57490301132202
147,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,4,vae-ignore,5.718703100646775,,,,,200,57.97932958602905
148,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,4,vae-ohe,5.817430464475901,,,,,200,458.71155285835266
149,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,4,vae-embed,5.764305931371004,,,,,200,85.1166741847992
150,categorical,100000,100,1,1.0,0.001,1.0,1000,3000,5000,0.3,3.0,0.3,False,0.0001,4,lmmvae,1.8643385526774259,,0.007816823199391365,1.0942168235778809,0.8911025524139404,200,116.34422469139099
